age,income,region
33.0,97698.0,south
38.0,57530.0,west
42.0,55117.0,west
34.0,75807.0,west
29.0,67565.0,north
41.0,48736.0,west
41.0,73239.0,south
25.0,48597.0,west
28.0,52534.0,west
32.0,73670.0,south
35.0,27242.0,north
41.0,52652.0,north
32.0,61255.0,east
49.0,80042.0,south
39.0,67821.0,south
56.0,48970.0,north
26.0,68096.0,north
53.0,47716.0,north
63.0,67006.0,north
37.0,75567.0,east
40.0,65145.0,south
45.0,50524.0,south
38.0,70616.0,east
59.0,74225.0,west
49.0,79955.0,north
44.0,37026.0,south
43.0,70975.0,east
39.0,57042.0,north
23.0,48193.0,east
43.0,61920.0,west
38.0,35257.0,north
47.0,42203.0,east
31.0,47351.0,east
46.0,34231.0,north
20.0,77272.0,west
33.0,69175.0,north
33.0,69320.0,north
28.0,36449.0,east
48.0,39070.0,east
48.0,56904.0,west
41.0,48966.0,east
35.0,68797.0,north
33.0,67058.0,east
59.0,78529.0,east
42.0,55650.0,south
59.0,51461.0,south
55.0,54833.0,east
28.0,39780.0,east
37.0,66020.0,west
46.0,98729.0,north
51.0,60222.0,west
44.0,66488.0,east
29.0,61727.0,north
44.0,54744.0,east
33.0,62552.0,south
40.0,63571.0,south
34.0,62308.0,south
40.0,50577.0,south
42.0,50057.0,north
39.0,43357.0,east
37.0,60373.0,west
32.0,44873.0,west
54.0,62566.0,south
41.0,64366.0,east
47.0,66367.0,west
41.0,77310.0,east
37.0,67581.0,north
52.0,56922.0,east
44.0,59030.0,west
47.0,29345.0,west
34.0,69057.0,east
37.0,59815.0,north
52.0,58179.0,east
35.0,73613.0,east
30.0,73752.0,west
43.0,30927.0,west
44.0,42662.0,north
47.0,75529.0,north
33.0,71221.0,north
44.0,51333.0,east
44.0,54530.0,south
-2.0,83233.0,west
39.0,80662.0,east
22.0,52268.0,south
40.0,62877.0,north
53.0,57731.0,east
43.0,86233.0,south
50.0,73443.0,north
31.0,67908.0,west
30.0,79085.0,north
51.0,39029.0,north
33.0,72705.0,north
51.0,53321.0,south
31.0,61845.0,north
31.0,68918.0,south
55.0,82577.0,north
50.0,47110.0,north
37.0,49872.0,north
49.0,69699.0,south
24.0,84006.0,north
32.0,46087.0,west
58.0,58808.0,north
42.0,68117.0,east
55.0,90331.0,north
31.0,68257.0,east
35.0,55107.0,south
70.0,57515.0,south
43.0,70029.0,west
34.0,57294.0,west
37.0,54656.0,west
37.0,58122.0,west
54.0,56863.0,north
46.0,35938.0,south
44.0,61688.0,east
28.0,45555.0,north
45.0,72254.0,east
