age,income,region,channel
42.0,48129.0,north,store
49.0,87445.0,south,store
45.0,56018.0,north,web
46.0,89745.0,east,web
51.0,62861.0,south,web
54.0,34926.0,north,store
32.0,62871.0,north,store
36.0,47501.0,west,web
35.0,61428.0,east,web
64.0,56044.0,north,web
62.0,64876.0,east,web
54.0,34573.0,east,store
34.0,37820.0,north,web
73.0,47891.0,north,web
34.0,65276.0,east,web
18.0,82997.0,north,web
59.0,50732.0,north,web
45.0,27883.0,east,store
47.0,75476.0,north,web
22.0,71570.0,south,store
54.0,87021.0,east,store
26.0,43775.0,south,store
53.0,62463.0,south,store
43.0,73805.0,east,store
67.0,91261.0,west,store
49.0,33131.0,north,web
36.0,54580.0,north,web
32.0,52466.0,north,store
50.0,74316.0,north,web
64.0,77882.0,north,store
49.0,55670.0,south,store
47.0,56835.0,west,web
38.0,52284.0,east,store
32.0,73443.0,south,web
44.0,56542.0,east,web
41.0,30676.0,north,web
48.0,47380.0,north,store
40.0,84019.0,north,store
45.0,54681.0,west,web
28.0,90107.0,north,store
54.0,62034.0,north,store
43.0,64420.0,east,store
53.0,92779.0,east,store
58.0,83194.0,north,web
24.0,62833.0,east,web
55.0,64886.0,north,store
46.0,67885.0,north,web
41.0,75385.0,east,web
40.0,57876.0,north,web
36.0,56683.0,north,store
38.0,60811.0,north,web
74.0,36090.0,south,web
55.0,39927.0,south,web
57.0,70414.0,north,store
59.0,59046.0,west,web
43.0,52432.0,north,web
51.0,68545.0,east,web
50.0,67448.0,north,web
33.0,94473.0,north,web
60.0,42404.0,east,web
41.0,94840.0,north,web
46.0,36796.0,south,store
37.0,39973.0,north,web
57.0,56986.0,south,web
41.0,54909.0,south,store
49.0,57868.0,north,web
48.0,31443.0,east,store
46.0,53986.0,west,store
25.0,71079.0,north,store
48.0,47424.0,south,web
82.0,44457.0,north,store
52.0,57676.0,south,store
31.0,86432.0,north,store
36.0,74069.0,north,web
29.0,70518.0,west,store
46.0,76326.0,south,web
52.0,50638.0,north,store
61.0,38542.0,west,store
26.0,73622.0,north,store
41.0,40761.0,east,store
45.0,33253.0,north,store
48.0,59837.0,north,store
35.0,82170.0,north,web
43.0,71332.0,south,web
46.0,37540.0,north,store
44.0,66496.0,south,web
41.0,86333.0,south,store
55.0,46521.0,north,store
58.0,66537.0,north,web
29.0,48486.0,north,web
39.0,51717.0,south,store
60.0,49296.0,east,store
67.0,85020.0,north,web
47.0,42939.0,north,web
37.0,96369.0,west,store
52.0,45019.0,east,store
44.0,60181.0,east,store
55.0,53734.0,north,web
47.0,71362.0,north,web
50.0,33153.0,north,web
68.0,56752.0,east,store
48.0,50798.0,north,web
35.0,56444.0,north,web
63.0,53856.0,west,web
68.0,74809.0,east,web
42.0,72496.0,north,web
45.0,61223.0,south,web
46.0,70965.0,north,store
55.0,57928.0,south,web
56.0,55117.0,east,web
41.0,33223.0,east,store
49.0,83666.0,east,web
44.0,43658.0,west,web
66.0,46897.0,east,web
60.0,64053.0,west,store
38.0,53505.0,south,store
38.0,38736.0,north,store
64.0,55434.0,east,store
68.0,48034.0,north,web
56.0,48532.0,east,store
46.0,49103.0,east,web
38.0,73852.0,east,web
40.0,72191.0,north,web
60.0,64242.0,east,store
32.0,87292.0,north,web
54.0,53217.0,south,store
29.0,71779.0,north,web
56.0,45255.0,south,web
54.0,52748.0,north,store
76.0,42980.0,north,store
43.0,50733.0,north,store
60.0,35168.0,north,web
65.0,71208.0,north,web
49.0,85345.0,south,web
51.0,90058.0,east,web
70.0,75217.0,north,web
15.0,64022.0,north,store
45.0,58940.0,north,store
49.0,52862.0,south,store
30.0,59226.0,north,store
56.0,58092.0,west,store
33.0,76513.0,north,store
44.0,58071.0,south,store
59.0,66861.0,north,store
14.0,52793.0,north,store
41.0,84592.0,south,store
52.0,63462.0,west,store
45.0,76308.0,north,web
47.0,69245.0,east,store
54.0,35049.0,east,store
55.0,30129.0,east,store
48.0,65917.0,east,web
43.0,90685.0,north,web
40.0,35394.0,east,web
43.0,55932.0,north,store
42.0,70535.0,east,web
53.0,66946.0,north,web
46.0,37314.0,south,store
71.0,43645.0,north,store
42.0,63375.0,east,store
55.0,36430.0,north,store
38.0,52949.0,south,web
57.0,46209.0,south,store
48.0,62409.0,south,web
45.0,49660.0,north,web
46.0,53566.0,north,store
50.0,59343.0,east,web
67.0,63027.0,south,web
33.0,49710.0,south,store
61.0,71402.0,south,store
42.0,62508.0,north,web
50.0,36906.0,west,store
55.0,50289.0,north,store
30.0,58898.0,east,store
68.0,57388.0,north,web
33.0,59383.0,east,store
55.0,33346.0,east,store
40.0,60009.0,north,store
60.0,58272.0,north,store
40.0,71973.0,north,store
45.0,63446.0,east,web
57.0,88739.0,south,web
58.0,26899.0,east,store
73.0,67282.0,east,store
47.0,94779.0,east,store
36.0,65655.0,south,web
52.0,58064.0,north,store
47.0,47032.0,west,store
64.0,46750.0,south,web
66.0,68219.0,east,web
51.0,85924.0,east,web
59.0,79307.0,east,web
55.0,83463.0,east,web
40.0,43049.0,south,store
47.0,68499.0,north,web
55.0,74885.0,south,web
40.0,54736.0,south,store
33.0,53119.0,east,web
25.0,37842.0,north,web
64.0,61855.0,east,store
33.0,67931.0,east,web
52.0,47247.0,north,store
33.0,61428.0,north,web
29.0,50062.0,north,store
35.0,63856.0,north,web
38.0,49384.0,south,web
59.0,81890.0,west,web
57.0,48459.0,east,store
63.0,96824.0,north,store
29.0,70758.0,north,store
60.0,64436.0,south,web
47.0,80073.0,east,store
45.0,49330.0,south,store
56.0,60077.0,east,web
58.0,45120.0,north,web
50.0,75173.0,north,store
47.0,59289.0,north,store
45.0,70269.0,north,web
34.0,66790.0,north,web
10.0,79558.0,north,web
51.0,33032.0,north,store
51.0,59119.0,east,web
35.0,72730.0,east,store
24.0,91396.0,west,web
28.0,61219.0,north,web
48.0,57640.0,north,web
63.0,76202.0,north,web
67.0,55415.0,north,web
48.0,67908.0,west,web
74.0,41939.0,north,store
50.0,56467.0,south,store
26.0,59607.0,north,store
40.0,53886.0,north,store
43.0,53682.0,north,web
46.0,77358.0,north,web
27.0,76108.0,north,web
53.0,51690.0,east,store
52.0,68862.0,south,store
35.0,71179.0,north,web
55.0,45945.0,north,web
40.0,41017.0,north,store
37.0,61658.0,north,store
37.0,75842.0,west,store
27.0,78282.0,north,store
43.0,88097.0,north,web
48.0,64014.0,north,store
47.0,85131.0,north,web
42.0,67809.0,east,web
59.0,52680.0,south,web
25.0,67637.0,south,web
36.0,81837.0,north,web
60.0,91510.0,north,web
52.0,63246.0,east,web
34.0,56216.0,west,web
46.0,64263.0,north,web
44.0,73823.0,north,web
50.0,66531.0,north,store
53.0,70105.0,east,web
63.0,73387.0,north,store
43.0,78180.0,north,store
34.0,67212.0,north,store
31.0,54923.0,north,web
53.0,66231.0,north,web
41.0,66396.0,south,web
45.0,53641.0,west,web
36.0,69139.0,north,store
44.0,42815.0,west,web
64.0,76303.0,north,store
37.0,45878.0,north,web
31.0,73294.0,north,web
61.0,81031.0,south,web
67.0,93827.0,east,web
60.0,44912.0,north,store
62.0,68833.0,east,web
12.0,65712.0,east,web
47.0,66486.0,north,web
54.0,57532.0,east,store
48.0,55009.0,south,web
38.0,75130.0,north,web
40.0,79082.0,east,store
38.0,52240.0,east,web
32.0,69805.0,north,store
76.0,36554.0,north,web
37.0,81209.0,north,web
39.0,55397.0,east,store
42.0,48904.0,north,store
45.0,66066.0,east,web
46.0,74231.0,east,store
47.0,60412.0,north,store
49.0,30773.0,north,store
51.0,57033.0,north,store
72.0,54388.0,north,store
36.0,52833.0,south,store
29.0,46150.0,north,store
46.0,50844.0,east,web
38.0,60086.0,east,store
61.0,60638.0,south,store
59.0,52613.0,north,web
68.0,48978.0,south,web
54.0,76949.0,north,store
34.0,46055.0,east,web
42.0,37101.0,south,web
52.0,60640.0,north,store
48.0,53645.0,north,store
57.0,71092.0,north,store
54.0,53319.0,north,store
50.0,61184.0,north,web
38.0,37835.0,east,store
33.0,49490.0,north,store
65.0,41077.0,east,store
54.0,49011.0,south,web
75.0,80873.0,north,store
